이름	그룹	프로필	사용	작업	다시 정의	프로그램	로컬 주소	원격 주소	프로토콜	로컬 포트	원격 포트	권한이 부여된 사용자	권한이 부여된 컴퓨터	권한 있는 로컬 보안 주체	로컬 사용자 소유자	응용 프로그램 패키지	
SMBDirect(iWARP-In)를 통한 파일 및 프린터 공유	SMBDirect를 통한 파일 및 프린터 공유	모두	아니요	허용	아니요	System	모두	모두	TCP	5445	모두	모두	모두	모두	모두	모두	
SNMP 서비스(UDP In)	SNMP Service	도메인	예	허용	아니요	%SystemRoot%\system32\snmp.exe	모두	모두	UDP	161	모두	모두	모두	모두	모두	모두	
SNMP 서비스(UDP In)	SNMP Service	개인, 공용	예	허용	아니요	%SystemRoot%\system32\snmp.exe	모두	로컬 서브넷	UDP	161	모두	모두	모두	모두	모두	모두	
SNMP 트랩 서비스(UDP In)	SNMP Trap	도메인	아니요	허용	아니요	%SystemRoot%\system32\snmptrap.exe	모두	모두	UDP	162	모두	모두	모두	모두	모두	모두	
SNMP 트랩 서비스(UDP In)	SNMP Trap	개인, 공용	아니요	허용	아니요	%SystemRoot%\system32\snmptrap.exe	모두	로컬 서브넷	UDP	162	모두	모두	모두	모두	모두	모두	
SSTP(Secure Socket Tunneling Protocol)(SSTP-In)	SSTP(Secure Socket Tunneling Protocol)	모두	아니요	허용	아니요	System	모두	모두	TCP	443	모두	모두	모두	모두	모두	모두	
TPM 가상 스마트 카드 관리(DCOM-In)	TPM 가상 스마트 카드 관리	개인, 공용	아니요	허용	아니요	%SystemRoot%\system32\svchost.exe	모두	로컬 서브넷	TCP	135	모두	모두	모두	모두	모두	모두	
TPM 가상 스마트 카드 관리(DCOM-In)	TPM 가상 스마트 카드 관리	도메인	아니요	허용	아니요	%SystemRoot%\system32\svchost.exe	모두	모두	TCP	135	모두	모두	모두	모두	모두	모두	
TPM 가상 스마트 카드 관리(TCP-In)	TPM 가상 스마트 카드 관리	도메인	아니요	허용	아니요	%SystemRoot%\system32\RmtTpmVscMgrSvr.exe	모두	모두	TCP	모두	모두	모두	모두	모두	모두	모두	
TPM 가상 스마트 카드 관리(TCP-In)	TPM 가상 스마트 카드 관리	개인, 공용	아니요	허용	아니요	%SystemRoot%\system32\RmtTpmVscMgrSvr.exe	모두	로컬 서브넷	TCP	모두	모두	모두	모두	모두	모두	모두	
Windows 방화벽 원격 관리(RPC)	Windows 방화벽 원격 관리	모두	아니요	허용	아니요	%SystemRoot%\system32\svchost.exe	모두	모두	TCP	RPC 동적 포트	모두	모두	모두	모두	모두	모두	
Windows 방화벽 원격 관리(RPC-EPMAP)	Windows 방화벽 원격 관리	모두	아니요	허용	아니요	%SystemRoot%\system32\svchost.exe	모두	모두	TCP	RPC 끝점 매퍼	모두	모두	모두	모두	모두	모두	
