[양력 기념일] 형식 : 날짜(4자리) | 명칭 | 글자색 (공휴일은 #e43939 로 표기)
0101|신정|#e43939
0130|대체휴일|#e43939
0214|발렌타인데이|#1589ff
0301|삼일절|#e43939
0314|화이트데이|#1589ff
0405|식목일|#1589ff
0501|근로자의날|#e43939
0505|어린이날|#e43939
0508|어버이날|#1589ff
0515|스승의날|#1589ff
0518|518기념일|#1589ff
0606|현충일|#e43939
0625|6.25 한국전쟁|#1589ff
0717|제헌절|#1589ff
0815|광복절|#e43939
1001|국군의날|#1589ff
1003|개천절|#e43939
1006|대체휴일|#e43939
1009|한글날|#e43939
1225|성탄절|#e43939
#빈줄삽입 
